ID,EAN,Naziv,Doza_snaga,Doza_jedinica_mjere,Oblik
399748,8606100000000,Tantum-Rosa®,500,8,11
399749,8606100000000,Tantum-Rosa®,500,8,11
399851,8600100000000,Midol®,75,8,6
399961,8606100000000,Spedifen®,400,8,2
399986,8600100000000,Xepar®,5,8,2
399990,8600100000000,Xepar®,10,8,2
400007,8608810000000,Anbol®,300,8,54
400098,8600100000000,Buscopan®,10,8,22
400152,8606020000000,Lamictal®,5,8,58
400309,8605000000000,Roximisan®,150,8,2
400331,8608810000000,Spalmotil®,2,8,54
400354,3870010000000,Tiastat®,20,8,54
400369,8606100000000,Temodal®,5,8,17
400371,8606100000000,Temodal®,20,8,17
400373,8606100000000,Temodal®,100,8,17
400375,8606100000000,Temodal®,250,8,17
400574,3838990000000,Lorista®,100,8,2
400586,5310000000000,Betadine®,200,8,62
400615,8600100000000,Marocen®,250,8,2
400622,5310000000000,Mendilex®,2,8,54
400684,9001510000000,Inkontan®,15,8,2
400793,3838990000000,Etoxib®,60,8,2
400794,3838990000000,Etoxib®,60,8,2
400799,3838990000000,Etoxib®,90,8,2
400800,3838990000000,Etoxib®,90,8,2
400803,3838990000000,Etoxib®,120,8,2
400804,3838990000000,Etoxib®,120,8,2
400929,5310000000000,NEBREMEL®,1.5,8,54
400968,5310000000000,Cefalexin Alkaloid®,500,8,17
401049,8607000000000,Vortimal,200,8,40
401589,8606100000000,Remicade®,100,8,36
401619,8606110000000,Alvotinib®,100,8,2
401620,8606110000000,Alvotinib®,100,8,2
401622,8606110000000,Alvotinib®,400,8,2
401623,8606110000000,Alvotinib®,400,8,2
401678,8606100000000,Femara®,2.5,8,2
401735,3838990000000,Nimvastid®,1.5,8,17
401740,3838990000000,Nimvastid®,3,8,17
401746,3838990000000,Nimvastid®,4.5,8,17
401749,3838990000000,Nimvastid®,6,8,17
402075,8606010000000,Lendacin®,1,3,42
402128,5690530000000,Vivace®,1.25,8,54
402131,5690530000000,Vivace®,2.5,8,54
402133,8600060000000,Vivace®,5,8,54
402134,5690530000000,Vivace®,5,8,54
402135,5690530000000,Vivace®,5,8,54
402137,8600060000000,Vivace®,10,8,54
402138,5690530000000,Vivace®,10,8,54
402139,5690530000000,Vivace®,10,8,54
402564,4260750000000,Litalir®,500,8,17
402575,8606010000000,Pentasa®,500,8,56
402613,8600100000000,Methyldopa HF,250,8,2
402784,3870010000000,Lizopril®,5,8,54
402786,3870010000000,Lizopril®,20,8,54
402788,3870010000000,Lizopril®,10,8,54
402827,4013050000000,Flavamed®,30,8,54
402829,3594460000000,Detralex®,500,8,2
402837,3594460000000,Detralex®,500,8,2
402844,8606020000000,Gastroprazol®,10,8,6
402845,8606020000000,Gastroprazol®,10,8,6
402852,8606020000000,Gastroprazol®,20,8,6
402853,8606020000000,Gastroprazol®,20,8,6
402859,5949030000000,Nurofen®,200,8,22
402861,5949030000000,Nurofen®,200,8,22
402874,8606010000000,Tygacil®,50,8,40
402938,5944740000000,Ampicillin Atb 1000mg,1000,8,42
402988,8600100000000,Betamsal®,0.4,8,14
403013,8600100000000,Panthenol,120,8,18
403111,8605000000000,Glikosan®,80,8,54
403129,8606100000000,Tegretol® CR,400,8,3
403163,8606100000000,Lamisil®,250,8,54
403217,3838990000000,Prenessa®,2,8,54
403219,3838990000000,Prenessa®,4,8,54
403220,3838990000000,Prenessa®,8,8,54
403236,8600100000000,Pressing®,10,8,54
403242,8600100000000,Klindamicin,150,8,17
403245,3838990000000,Alventa®,150,8,15
403247,3831060000000,GeloMyrtol® forte,300,8,4
403249,3838990000000,Alventa®,75,8,15
403254,8606110000000,Xalvobin®,500,8,2
403333,8600100000000,Demetrin®,10,8,54
403405,5690530000000,TELMIKOR®,40,8,54
403407,5690530000000,TELMIKOR®,80,8,54
403852,7896000000000,Escital®,10,8,2
403860,7896000000000,Escital®,15,8,2
403862,7896000000000,Escital®,20,8,2
404088,8600100000000,Tensec®,5,8,2
404090,8600100000000,Tensec®,10,8,2
404096,5690530000000,Onzapin®,15,8,23
404098,5690530000000,Onzapin®,20,8,23
404135,8606010000000,Eliquis®,2.5,8,2
404136,8606010000000,Eliquis®,2.5,8,2
404138,8606010000000,Eliquis®,5,8,2
404176,8600100000000,Karbapin®,200,8,54
404210,8606010000000,Megace®,160,8,54
404247,8606100000000,Relenza®,5,8,33
404248,8606100000000,Relenza®,5,8,33
404427,8600100000000,Amoksicilin HF,250,8,17
404430,8600100000000,Amoksicilin HF,500,8,17
404467,5690530000000,Antiagrex®,75,8,2
404504,8600100000000,Belbien®,10,8,2
404506,8606010000000,Bicadex®,50,8,2
404508,8606010000000,Capecitabine PharmaSwiss,500,8,2
404535,8606110000000,Concor®,5,8,2
404535,8606110000000,Concor®,5,8,2
404537,8606110000000,Concor®,5,8,2
404537,8606110000000,Concor®,5,8,2
404538,8606110000000,Concor®,10,8,2
404538,8606110000000,Concor®,10,8,2
404540,8606110000000,Concor®,10,8,2
404540,8606110000000,Concor®,10,8,2
404548,4056500000000,Bekunis®,20,8,6
404549,4056500000000,Bekunis®,20,8,6
404564,4019340000000,Dona®,1500,8,38
404594,5997000000000,Esmya®,5,8,54
404602,8600100000000,Essentiale® forte N,300,8,17
404607,8600100000000,Febricet®,200,8,52
404625,4013050000000,Flosin®,0.4,8,14
404627,4013050000000,Flosin®,0.4,8,14
404652,3582910000000,Lasix®,40,8,54
404656,8606110000000,Lasix®,40,8,54
404717,5099150000000,Flugalin®,50,8,22
404719,5099150000000,Flugalin®,100,8,22
404760,8606010000000,Metoprolol XL Sandoz®,47.5,8,3
404762,8606010000000,Metoprolol XL Sandoz®,95,8,3
404804,5997000000000,Reagila®,1.5,8,17
404810,5997000000000,Reagila®,3,8,17
404817,5997000000000,Reagila®,4.5,8,17
404829,5997000000000,Reagila®,6,8,17
404909,8606010000000,PravaCor®,20,8,54
404923,8606100000000,ESBRIET®,267,8,2
404925,8606100000000,ESBRIET®,801,8,2
404985,8606020000000,Pemetreksed Pliva,500,8,36
404986,8606020000000,Pemetreksed Pliva,500,8,36
404987,8606020000000,Pemetreksed Pliva,500,8,36
404988,8606020000000,Pemetreksed Pliva,500,8,36
405007,8600100000000,Diklofenak Forte HF,100,8,55
405028,8606100000000,Rispolept®,1,8,2
405030,8606100000000,Rispolept®,2,8,2
405031,8606100000000,Rispolept®,3,8,2
405032,8606100000000,Rispolept®,4,8,2
405043,4032720000000,Salofalk®,1,3,52
405055,8600100000000,Sidata®,50,8,2
405057,8600100000000,Sidata®,100,8,2
405084,8606010000000,Sirdalud®,2,8,54
405086,8606010000000,Sirdalud®,4,8,54
405101,8606110000000,Cefepim Kabi,1,3,42
405106,3837000000000,Xyzal®,5,8,2
405107,3837000000000,Xyzal®,5,8,2
405112,5310000000000,Massido®,5,8,54
405114,5310000000000,ZYGLIP®,145,8,54
405135,8600100000000,Yanida®,80,8,2
405137,8600100000000,Yanida®,160,8,2
405246,3838990000000,Vasilip®,10,8,2
405248,3838990000000,Vasilip®,20,8,2
405249,3838990000000,Vasilip®,40,8,2
405283,3582910000000,Trental®,400,8,56
405290,8606010000000,Tizax,4,8,54
405326,8606110000000,Rydapt®,25,8,16
405330,8606110000000,Rydapt®,25,8,16
405356,8606100000000,Thyrogen®,0.9,8,41
405359,3582910000000,Amaryl®,4,8,54
405361,3582910000000,Amaryl®,4,8,54
405514,4013050000000,Pangrol® 10000,153.5,8,5
405515,4013050000000,Pangrol® 10000,153.5,8,5
405517,4013050000000,Pangrol® 25000,356.1,8,5
405518,4013050000000,Pangrol® 25000,356.1,8,5
405531,5036610000000,Somatuline® Autogel®,60,8,49
405533,5036610000000,Somatuline® Autogel®,90,8,49
405535,5036610000000,Somatuline® Autogel®,120,8,49
405600,8600100000000,Gluformin®,500,8,6
405604,8600100000000,Midol®,100,8,6
405645,8600100000000,Dulcolax®,10,8,52
405690,4013050000000,Berlithion® 600,600,8,16
405700,8606020000000,Casodex®,50,8,2
405702,8606020000000,Casodex®,50,8,2
405732,8608810000000,Cefazolin,1,3,42
405747,5310000000000,Citeral®,250,8,2
405749,8606110000000,Citeral®,250,8,2
405751,5310000000000,Citeral®,500,8,2
405753,8606110000000,Citeral®,500,8,2
405786,8606010000000,Femozol®,2.5,8,2
405866,1210000000000,Norvasc®,10,8,54
405867,1210000000000,Norvasc®,10,8,54
405871,8600100000000,Pepticaid®,20,8,6
405873,8600100000000,Pepticaid®,40,8,6
405875,8600100000000,Pepticaid® control,20,8,6
405916,8600100000000,Zodol®,10,8,2
406010,8608810000000,Izopamil®,80,8,2
406021,3838990000000,Finpros®,5,8,2
406022,3838990000000,Finpros®,5,8,2
406050,8606010000000,Diupot®,25,8,2
406055,8606010000000,Diupot®,50,8,2
406280,5310000000000,Eglonyl®,200,8,54
406298,8606010000000,Inlyta®,1,8,2
406300,8606010000000,Inlyta®,5,8,2
406315,8606010000000,Cabometyx®,20,8,2
406371,7640140000000,Raxone,150,8,2
406499,8600100000000,Risperidon HF,1,8,2
406504,8600100000000,Risperidon HF,2,8,2
406507,8600100000000,Risperidon HF,3,8,2
406509,8600100000000,Risperidon HF,4,8,2
406646,4013050000000,Nixar®,20,8,54
406647,4013050000000,Nixar®,20,8,54
406708,3838990000000,Memando®,10,8,2
406713,3838990000000,Memando®,20,8,2
406718,5310000000000,PTU®,50,8,54
406720,5310000000000,PTU®,100,8,54
406722,4260100000000,Dilatrend®,6.25,8,54
406724,4260100000000,Dilatrend®,12.5,8,54
406726,4260100000000,Dilatrend®,25,8,54
406739,8606110000000,Glucophage® XR,500,8,56
406740,8606110000000,Glucophage® XR,500,8,56
406741,8606110000000,Glucophage® XR,500,8,56
406743,8606110000000,Glucophage® XR,500,8,56
406747,8606110000000,Glucophage® XR,750,8,56
406748,8606110000000,Glucophage® XR,750,8,56
406749,8606110000000,Glucophage® XR,750,8,56
406751,8606110000000,Glucophage® XR,750,8,56
406752,8606110000000,Glucophage® XR,1000,8,56
406753,8606110000000,Glucophage® XR,1000,8,56
406755,8606110000000,Glucophage® XR,1000,8,56
406792,7640130000000,Revlimid®,5,8,17
406795,7640130000000,Revlimid®,15,8,17
406798,7640130000000,Revlimid®,25,8,17
406802,7640130000000,Revlimid®,10,8,17
406874,8606010000000,Aspirin® protect,100,8,6
406875,8606010000000,Aspirin® protect,100,8,6
406910,8606110000000,Tigeciklin SK,50,8,40
406911,8606110000000,Tigeciklin SK,50,8,40
406912,8606110000000,Tigeciklin SK,50,8,40
406913,8606110000000,Tigeciklin SK,50,8,40
406915,8606110000000,Tigeciklin SK,50,8,40
406978,8606100000000,Wellbutrin® XR,150,8,55
406981,8606100000000,Wellbutrin® XR,300,8,55
407061,8606010000000,Trasolette®,1,8,2
407068,3870010000000,PREDNIZON BSL,5,8,54
407094,8600100000000,Alerizon®,5,8,2
407095,8600100000000,Alerizon®,5,8,2
407115,4013050000000,Nixar®,20,8,54
407116,4013050000000,Nixar®,20,8,54
407191,8608810000000,Diklofen DUO®,75,8,14
407195,5997000000000,Escapelle®,1.5,8,54
407239,5690530000000,NEMDATINE®,10,8,2
407242,5690530000000,NEMDATINE®,20,8,2
407251,8600100000000,Midol®,300,8,54
407297,8600100000000,Ranitidin HF,75,8,63
407328,8600100000000,Sildena®,100,8,2
407329,8600100000000,Sildena®,100,8,2
407330,8600100000000,Sildena®,100,8,2
407331,8600100000000,Sildena®,100,8,2
407345,8605000000000,Kanazol®,100,8,17
407370,3400970000000,Phlebodia®,600,8,2
407391,3400970000000,Phlebodia®,600,8,2
407394,358469000000,Renvela®,2.4,3,39
407395,358469000000,Renvela®,2.4,3,39
407407,358468000000,Renvela®,800,8,2
407408,358468000000,Renvela®,800,8,2
407423,3594460000000,Tenaxum®,1,8,54
407548,3850340000000,Lordiar,2,8,17
407573,5099150000000,Duphaston®,10,8,2
407680,8606110000000,Tasigna®,200,8,17
407717,8606010000000,Xarelto®,10,8,2
407719,8606010000000,Xarelto®,10,8,2
407757,8608810000000,Prilazid®,2.5,8,2
407763,8608810000000,Prilazid®,5,8,2
407770,8605000000000,MONOSAN®,20,8,54
407772,8605000000000,MONOSAN®,40,8,54
407795,8606110000000,Votrient®,400,8,2
407796,8606110000000,Votrient®,200,8,2
407857,8606020000000,Anidulafungin Pliva,100,8,36
407858,8606020000000,Anidulafungin Pliva,100,8,36
407859,8606020000000,Anidulafungin Pliva,100,8,36
407860,8606020000000,Anidulafungin Pliva,100,8,36
407861,8606020000000,Anidulafungin Pliva,100,8,36
407911,3850340000000,ABUXAR®,80,8,2
407914,3850340000000,ABUXAR®,120,8,2
407978,8605000000000,ALERGOSAN® S,10,8,2
407979,8605000000000,ALERGOSAN®,10,8,2
408028,8680200000000,Rotazar,75,8,2
408032,8680200000000,Rotazar,150,8,2
408035,8680200000000,Rotazar,300,8,2
408069,1210000000000,Sermion®,30,8,2
408081,5065000000000,Vidaza®,100,8,44
408091,3838990000000,Nalgesin® forte,550,8,2
408093,3838990000000,Nalgesin® forte,550,8,2
408095,8606100000000,Avodart®,0.5,8,16
408108,8606010000000,Minirin® Melt,60,7,24
408111,8606010000000,Minirin® Melt,120,7,24
408130,4019340000000,Dona®,750,8,2
408131,4019340000000,Dona®,750,8,2
408174,8606010000000,Cardiopirin®,75,8,6
408190,8600100000000,Omnitus®,20,8,3
408203,8600100000000,Omnitus®,50,8,3
408215,8600100000000,Peptix®,40,8,42
408367,8606110000000,Braltus®,10,7,34
408368,8606110000000,Braltus®,10,7,34
408369,8606110000000,Braltus®,10,7,34
408370,8606110000000,Braltus®,10,7,34
408421,8606110000000,Kaspofungin SK,70,8,36
408422,8606110000000,Kaspofungin SK,70,8,36
408423,8606110000000,Kaspofungin SK,70,8,36
408425,8606110000000,Kaspofungin SK,50,8,36
408426,8606110000000,Kaspofungin SK,50,8,36
408427,8606110000000,Kaspofungin SK,50,8,36
408479,8600100000000,Ranitidin HF,150,8,63
408481,8600100000000,Ranitidin HF,300,8,63
408498,8600100000000,Treana®,5,8,2
408500,8600100000000,Treana®,10,8,2
408530,5690530000000,Actawell®,25,8,2
408532,5690530000000,Actawell®,100,8,2
408534,5690530000000,Actawell®,200,8,2
408543,8600100000000,Phenobarbiton,15,8,54
408546,8600100000000,Phenobarbiton,100,8,54
408551,5997000000000,Postinor®-2,0.75,8,54
408570,3400940000000,Pharmatex®,18.9,8,59
408582,8606010000000,Rapidol®,200,8,2
408588,8606010000000,Rapidol® Menstrual,200,8,2
408616,8606010000000,MENOPUR®,600,4,28
408638,8606100000000,Myfortic®,180,8,6
408640,8606100000000,Myfortic®,180,8,6
408641,8606100000000,Myfortic®,360,8,6
408643,8606100000000,Myfortic®,360,8,6
408658,5690530000000,Rasetron®,1,8,2
408660,5690530000000,Rasetron®,2,8,2
408667,9001510000000,Calmaben®,50,8,22
408669,8600100000000,Doxi-Hem®,500,8,17
408680,3850110000000,Andol®,300,8,54
408700,8606010000000,Bilive®,5,8,2
408701,8606010000000,Bilive®,10,8,2
408702,8606010000000,Bilive®,20,8,2
408762,8606110000000,Prograf™,5,8,17
408764,8606110000000,Prograf™,1,8,17
408796,3838990000000,Nolpaza®,40,8,6
408797,3838990000000,Nolpaza®,40,8,6
408798,3838990000000,Nolpaza®,40,8,6
408799,3838990000000,Nolpaza®,40,8,6
408801,3838990000000,Nolpaza®,20,8,6
408802,3838990000000,Nolpaza®,20,8,6
408808,8606110000000,Silagra®,100,8,2
408810,8606110000000,Silagra®,50,8,2
408812,8606110000000,Silagra®,25,8,2
408848,7896000000000,Brazart®,320,8,2
408850,7896000000000,Brazart®,160,8,2
408852,7896000000000,Brazart®,80,8,2
409023,7896000000000,Lirida®,2,8,54
409024,7896000000000,Lirida®,2,8,54
409029,7896000000000,Lirida®,4,8,54
409031,7896000000000,Lirida®,4,8,54
409072,3838990000000,Eliskardia®,10,8,2
409086,3582910000000,Esperal®,500,8,54
409141,9088880000000,Naltrexone Amomed,50,8,2
409144,8606010000000,Cabometyx®,40,8,2
409148,8606010000000,Cabometyx®,60,8,2
409159,8606100000000,nicorette® freshmint,2,8,20
409161,8606100000000,nicorette® freshmint,4,8,20
409173,3582180000000,Smecta®,3,3,39
409265,5310000000000,Eglonyl®,50,8,17
409303,8054080000000,Venclyxto®,10,8,2
409305,8054080000000,Venclyxto®,50,8,2
409307,8054080000000,Venclyxto®,100,8,2
409308,8054080000000,Venclyxto®,100,8,2
409313,8606100000000,Velcade®,1,8,41
409334,8606110000000,Mycamine™,50,8,40
409338,8606110000000,Mycamine™,100,8,40
409409,8606020000000,Lamictal®,2,8,58
409424,8606110000000,Meropenem Quatalia,500,8,42
409426,8606110000000,Meropenem Quatalia,1000,8,42
409450,4013050000000,Dexomen®,25,8,9
409498,5310000000000,BlokMAX® Rapid,400,8,2
409532,4030670000000,Moxogamma® 0.4,0.4,8,2
409533,4030670000000,Moxogamma® 0.3,0.3,8,2
409533,4030670000000,Moxogamma® 0.3,0.3,8,2
409534,4030670000000,Moxogamma® 0.2,0.2,8,2
409534,4030670000000,Moxogamma® 0.2,0.2,8,2
409626,8699540000000,SINEGRA®,50,8,2
409628,8699540000000,SINEGRA®,100,8,2
409664,7896000000000,Telisar®,80,8,54
409773,8606000000000,Mendiaxon®,200,8,54
409775,8606000000000,Mendiaxon®,200,8,54
409849,5310000000000,Ropuido®,5,8,2
409851,5310000000000,Ropuido®,10,8,2
409853,5310000000000,Ropuido®,20,8,2
409856,5310000000000,Ropuido®,40,8,2
409911,8600100000000,No-Spa®,40,8,54
409954,8600060000000,Kansen®,200,8,60
410042,8608810000000,BISPROL®,5,8,2
410044,8608810000000,BISPROL®,10,8,2
410095,8435370000000,VANCO SALA,1,3,40
410108,3838960000000,Flonidan®,10,8,54
410117,4013050000000,Lercanil® 10,10,8,2
410190,5310000000000,Reglan®,10,8,54
410235,8606110000000,Andol® Protect 75,75,8,6
410237,8606110000000,Andol® Protect 75,75,8,6
410238,8606110000000,Andol® Protect 100,100,8,6
410240,8606110000000,Andol® Protect 100,100,8,6
410266,5690530000000,Bipodis®,5,8,54
410268,5690530000000,Bipodis®,10,8,54
410270,5690530000000,Bipodis®,15,8,54
410296,8606100000000,Pradaxa®,75,8,17
410299,8606100000000,Pradaxa®,110,8,17
410300,8606100000000,Pradaxa®,110,8,17
410332,1210000000000,Revatio®,20,8,2
410340,3838990000000,Prenessa®,4,8,23
410341,3838990000000,Prenessa®,8,8,23
410614,7896000000000,Aknova®,20,8,16
410617,7896000000000,Aknova®,10,8,16
410751,8606110000000,Efavirenz SK,600,8,2
410762,8606010000000,Xarelto®,2.5,8,2
410764,8606010000000,Xarelto®,2.5,8,2
410835,3870010000000,VERION®,0.5,8,16
410866,8606010000000,Adempas®,0.5,8,2
410867,8606010000000,Adempas®,0.5,8,2
410869,8606010000000,Adempas®,1,8,2
410870,8606010000000,Adempas®,1,8,2
410873,8606010000000,Adempas®,1.5,8,2
410874,8606010000000,Adempas®,1.5,8,2
410876,8606010000000,Adempas®,2,8,2
410877,8606010000000,Adempas®,2,8,2
410880,8606010000000,Adempas®,2.5,8,2
410886,8606010000000,Adempas®,2.5,8,2
410933,8606110000000,Ibufex 400,400,8,2
410935,8606110000000,Ibufex Max,600,8,2
410960,8680200000000,Levosetil,5,8,2
410961,8680200000000,Levosetil,5,8,2
410991,8606110000000,Nauzex®,125,8,17
410992,8606110000000,Nauzex®,125,8,17
410993,8606110000000,Nauzex®,125,8,17
411031,8605000000000,5-ASA®,250,8,52
411064,8606100000000,GIOTRIF®,20,8,2
411067,8606100000000,GIOTRIF®,30,8,2
411069,8606100000000,GIOTRIF®,40,8,2
411076,3582910000000,Lipanor®,100,8,17
411122,3838990000000,Lortanda®,2.5,8,2
411165,5099150000000,Klacid®,500,8,2
411172,5099150000000,Klacid® MR,500,8,3
411206,3838990000000,Zalasta® Q-Tab®,5,8,23
411207,3838990000000,Zalasta® Q-Tab®,10,8,23
411209,3838990000000,Zalasta® Q-Tab®,15,8,23
411210,3838990000000,Zalasta® Q-Tab®,20,8,23
411221,8600100000000,NovoSeven®,1,8,28
411412,5310000000000,LESTEDON®,0.5,8,16
411442,8600100000000,Yanida®,160,8,2
411443,8600100000000,Yanida®,80,8,2
411562,4013050000000,Prostamol® uno,320,8,16
411564,4013050000000,Prostamol® uno,320,8,16
411600,8606010000000,Rapamune®,1,8,22
411601,8606010000000,Rapamune®,1,8,22
411665,3582180000000,Tanakan®,40,8,22
411666,3582180000000,Tanakan®,40,8,22
411669,3582180000000,Tanakan®,40,8,22
411671,3582180000000,Tanakan®,40,8,22
412056,8606020000000,Flevenol®,500,8,2
412165,8608810000000,Dovicin®,100,8,17
412392,8606110000000,Jakavi®,5,8,54
412394,8606110000000,Jakavi®,15,8,54
412396,8606110000000,Jakavi®,20,8,54
412402,5099150000000,Lipanthyl® 145,145,8,2
412404,5099150000000,Lipanthyl® 145,145,8,2
412406,5099150000000,Lipanthyl® 160,160,8,2
412407,5099150000000,Lipanthyl® 160,160,8,2
412459,3831060000000,Keppra®,250,8,2
412461,3831060000000,Keppra®,500,8,2
412463,3831060000000,Keppra®,1000,8,2
412570,5310000000000,Rissar®,1,8,2
412572,8606110000000,Rissar®,1,8,2
412573,8606110000000,Rissar®,1,8,2
412574,5310000000000,Rissar®,1,8,2
412577,5310000000000,Rissar®,2,8,2
412579,8606110000000,Rissar®,2,8,2
412580,8606110000000,Rissar®,2,8,2
412581,5310000000000,Rissar®,2,8,2
412583,5310000000000,Rissar®,3,8,2
412585,8606110000000,Rissar®,3,8,2
412586,8606110000000,Rissar®,3,8,2
412587,5310000000000,Rissar®,3,8,2
413254,8606100000000,Spedifen® 200,200,8,9
413263,8606100000000,Spedifen® 400,400,8,9
413307,5060600000000,Ultiva®,2,8,37
413395,8606010000000,Brax®,3,8,18
413511,8600060000000,Amiodaron Actavis,200,8,54
413516,8606010000000,Bisoprolol PharmaS,2.5,8,54
413530,8606010000000,Cialis®,20,8,2
413538,8606100000000,Clopicor®,75,8,2
413545,8600100000000,Eritromicin HF,500,8,2
413575,8606010000000,PravaCor®,40,8,54
413614,8606110000000,Seroxat®,20,8,2
413637,8606020000000,Corasp®,75,8,6
413638,8606100000000,Corasp®,75,8,6
413640,8606100000000,Corasp®,75,8,6
413641,8606020000000,Corasp®,100,8,6
413642,8606100000000,Corasp®,100,8,6
413644,8606100000000,Corasp®,100,8,6
413713,8606010000000,Monopril®,10,8,54
413715,8606010000000,Monopril®,20,8,54
413797,8606100000000,Zinforo®,600,8,36
413880,5099150000000,Brufen® retard,800,8,56
413890,8606110000000,Seebri® Breezhaler ®,44,7,34
413900,3838990000000,Oprymea® SR,0.26,8,56
413901,3838990000000,Oprymea® SR,0.52,8,56
413902,3838990000000,Oprymea® SR,1.05,8,56
413903,3838990000000,Oprymea® SR,1.57,8,56
413904,3838990000000,Oprymea® SR,2.1,8,56
413914,5310000000000,ELORYQA®,5,8,2
413916,8606110000000,ELORYQA®,5,8,2
413918,5310000000000,ELORYQA®,10,8,2
413920,8606110000000,ELORYQA®,10,8,2
413922,5310000000000,ELORYQA®,20,8,2
413924,8606110000000,ELORYQA®,20,8,2
414024,8600100000000,Bisolvon®,8,8,54
414108,8606110000000,Vivagrex®,5,8,2
414109,8606110000000,Vivagrex®,5,8,2
414110,8606110000000,Vivagrex®,5,8,2
414113,8606110000000,Vivagrex®,10,8,2
414114,8606110000000,Vivagrex®,10,8,2
414115,8606110000000,Vivagrex®,10,8,2
414173,5690530000000,Epica®,50,8,17
414174,5690530000000,Epica®,75,8,17
414175,5690530000000,Epica®,150,8,17
414237,8606110000000,Bendamustin Kabi,100,8,36
414238,8606110000000,Bendamustin Kabi,100,8,36
414239,8606110000000,Bendamustin Kabi,25,8,36
414240,8606110000000,Bendamustin Kabi,25,8,36
414526,8606100000000,Fasenra®,30,8,49
414527,8606100000000,Fasenra®,30,8,49
414553,8606100000000,Alunbrig,30,8,2
414562,7896000000000,Viralex®,200,8,54
414715,8605000000000,5-ASA®,250,8,6
414722,8608810000000,Clopigal®,75,8,2
414734,8606110000000,VOXIN®,1,3,40
414746,8600100000000,Marocen®,500,8,2
414766,8600100000000,Elfonis®,400,8,2
414785,8600060000000,Limeral®,1,8,54
414787,8600060000000,Limeral®,2,8,54
414789,8600060000000,Limeral®,3,8,54
414791,8600060000000,Limeral®,4,8,54
414792,8600060000000,Limeral®,6,8,54
414858,5290670000000,Amitriptyline Remedica,10,8,2
414859,5290670000000,Amitriptyline Remedica,25,8,2
414888,3838990000000,Deksametazon Krka,4,8,54
414889,3838990000000,Deksametazon Krka,4,8,54
414891,3838990000000,Deksametazon Krka,8,8,54
414893,3838990000000,Deksametazon Krka,20,8,54
414896,3838990000000,Deksametazon Krka,40,8,54
414942,5290670000000,Erlotinib Remedica,25,8,2
414946,5290670000000,Erlotinib Remedica,100,8,2
414949,5290670000000,Erlotinib Remedica,150,8,2
415054,8606110000000,Gemcitabin Kabi,200,8,40
415056,8606110000000,Gemcitabin Kabi,1000,8,40
415069,8606110000000,Gemcitabin Kabi,1000,8,40
415070,8606110000000,Gemcitabin Kabi,200,8,40
415080,8606100000000,Kadcyla®,100,8,36
415084,8606100000000,Kadcyla®,160,8,36
415172,8606110000000,Xtandi™,40,8,16
415239,5099150000000,Colospa® retard,200,8,14
