ID leka,Назив лека:,Генерички назив:,Облик и паковање:,Kolicina,Oblik,Doza,Врста решења:,АТЦ шифра:,JKL:,EAN:,Врста лека:,Произвођач:,- адреса:,- земља:,Носилац дозволе:,Режим издавања:,Број решења:,Датум решења:,Датум истицања решења:,Сажетак карактеристика о леку:,Упутство за лек:,Текст за спољње и унутрашње паковање:,Одобрене измене:
395684,Isocor®,verapamil,"rastvor za injekciju; 2.5mg/mL; ampula, 10x2mL",20 mL,rastvor za injekciju,2.5mg/mL,РЕГИСТРАЦИЈА,C08DA01,402730,8.60611E+12,Хумани лекови,SOPHARMA AD,"Vladimira Popovića 6,  Beograd - Novi Beograd",Bugarska,PHARMACHIM D.O.O. BEOGRAD - NOVI BEOGRAD,СЗ - Лек се може употребљавати само у стационарној здравственој установи,515-01-04679-16-001,15.10.2018.,15.10.2023.,pdf/395684/sazetak_karakteristika_lijeka.pdf,pdf/395684/upustvo_za_upotrebu.pdf,pdf/395684/tekst_za_spoljno_pakovanje.pdf,У припреми
395700,Meralys Comb,"ksilometazolin, ipratropijum-bromid","sprej za nos, rastvor; 0.5mg/mL+0.6mg/mL; višedozni kontejner sa pumpom za doziranje, 1x10mL",10 mL,"sprej za nos, rastvor",0.5mg/mL+0.6mg/mL,РЕГИСТРАЦИЈА,R01AB06,7110398,3.85601E+12,Хумани лекови,JADRAN GALENSKI LABORATORIJ D.D.,"Milosava Vlajića 110A,  Beograd - Sopot",Hrvatska,JGL D.O.O. BEOGRAD-SOPOT,БР - Лек се може издавати и без рецепта,515-01-03022-17-001,08.10.2018.,08.10.2023.,pdf/395700/sazetak_karakteristika_lijeka.pdf,pdf/395700/upustvo_za_upotrebu.pdf,pdf/395700/tekst_za_spoljno_pakovanje.pdf,У припреми
395876,Tadalafil Mylan,tadalafil,"film tableta; 10mg; blister, 1x4kom",4 kom,film tableta,10mg,РЕГИСТРАЦИЈА,G04BE08,1139221,5.09915E+12,Хумани лекови,MYLAN HUNGARY KFT.,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Mađarska,VIATRIS HEALTHCARE D.O.O.,Р - Лек се може издавати само уз лекарски рецепт,515-01-04377-17-001,03.10.2018.,03.10.2023.,pdf/395876/sazetak_karakteristika_lijeka.pdf,pdf/395876/upustvo_za_upotrebu.pdf,pdf/395876/tekst_za_spoljno_pakovanje.pdf,У припреми
395877,Tadalafil Mylan,tadalafil,"film tableta; 10mg; blister, 1x4kom",4 kom,film tableta,10mg,РЕГИСТРАЦИЈА,G04BE08,1139221,5.09915E+12,Хумани лекови,MCDERMOTT LABORATORIES LIMITED T/A GERARD LABORATORIES T/A MYLAN DUBLIN,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Irska,VIATRIS HEALTHCARE D.O.O.,Р - Лек се може издавати само уз лекарски рецепт,515-01-04377-17-001,03.10.2018.,03.10.2023.,pdf/395877/sazetak_karakteristika_lijeka.pdf,pdf/395877/upustvo_za_upotrebu.pdf,pdf/395877/tekst_za_spoljno_pakovanje.pdf,У припреми
395883,Tadalafil Mylan,tadalafil,"film tableta; 20mg; blister, 1x4kom",4 kom,film tableta,20mg,РЕГИСТРАЦИЈА,G04BE08,1139220,5.09915E+12,Хумани лекови,MYLAN HUNGARY KFT.,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Mađarska,VIATRIS HEALTHCARE D.O.O.,Р - Лек се може издавати само уз лекарски рецепт,515-01-04379-17-001,03.10.2018.,03.10.2023.,pdf/395883/sazetak_karakteristika_lijeka.pdf,pdf/395883/upustvo_za_upotrebu.pdf,pdf/395883/tekst_za_spoljno_pakovanje.pdf,У припреми
395884,Tadalafil Mylan,tadalafil,"film tableta; 20mg; blister, 1x4kom",4 kom,film tableta,20mg,РЕГИСТРАЦИЈА,G04BE08,1139220,5.09915E+12,Хумани лекови,MCDERMOTT LABORATORIES LIMITED T/A GERARD LABORATORIES T/A MYLAN DUBLIN,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Irska,VIATRIS HEALTHCARE D.O.O.,Р - Лек се може издавати само уз лекарски рецепт,515-01-04379-17-001,03.10.2018.,03.10.2023.,pdf/395884/sazetak_karakteristika_lijeka.pdf,pdf/395884/upustvo_za_upotrebu.pdf,pdf/395884/tekst_za_spoljno_pakovanje.pdf,У припреми
395925,Nazopass® za decu,oksimetazolin,"kapi za nos, rastvor; 0.25mg/mL; bočica plastična, 1x10mL",10 mL,"kapi za nos, rastvor",0.25mg/mL,РЕГИСТРАЦИЈА,R01AA05,7110060,5.31E+12,Хумани лекови,ALKALOID AD SKOPJE,"Prahovska 3,  Beograd",Republika Severna Makedonija,ALKALOID D.O.O. BEOGRAD,БР - Лек се може издавати и без рецепта,515-01-05096-16-001,11.10.2018.,11.10.2023.,pdf/395925/sazetak_karakteristika_lijeka.pdf,pdf/395925/upustvo_za_upotrebu.pdf,pdf/395925/tekst_za_spoljno_pakovanje.pdf,У припреми
395927,Nazopass®,oksimetazolin,"kapi za nos, rastvor; 0.5mg/mL; bočica plastična, 1x10mL",10 mL,"kapi za nos, rastvor",0.5mg/mL,РЕГИСТРАЦИЈА,R01AA05,7110061,5.31E+12,Хумани лекови,ALKALOID AD SKOPJE,"Prahovska 3,  Beograd",Republika Severna Makedonija,ALKALOID D.O.O. BEOGRAD,БР - Лек се може издавати и без рецепта,515-01-05097-16-001,11.10.2018.,11.10.2023.,pdf/395927/sazetak_karakteristika_lijeka.pdf,pdf/395927/upustvo_za_upotrebu.pdf,pdf/395927/tekst_za_spoljno_pakovanje.pdf,У припреми
396031,Ezinelle®,levonorgestrel,"tableta; 1.5mg; blister, 1x1kom",1 kom,tableta,1.5mg,РЕГИСТРАЦИЈА,G03AD01,1135252,5.09915E+12,Хумани лекови,MCDERMOTT LABORATORIES LIMITED T/A GERARD LABORATORIES T/A MYLAN DUBLIN,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Irska,VIATRIS HEALTHCARE D.O.O.,БР - Лек се може издавати и без рецепта,515-01-02157-17-001,05.11.2018.,05.11.2023.,pdf/396031/sazetak_karakteristika_lijeka.pdf,pdf/396031/upustvo_za_upotrebu.pdf,pdf/396031/tekst_za_spoljno_pakovanje.pdf,У припреми
396032,Ezinelle®,levonorgestrel,"tableta; 1.5mg; blister, 1x1kom",1 kom,tableta,1.5mg,РЕГИСТРАЦИЈА,G03AD01,1135252,5.09915E+12,Хумани лекови,MYLAN HUNGARY KFT.,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Mađarska,VIATRIS HEALTHCARE D.O.O.,БР - Лек се може издавати и без рецепта,515-01-02157-17-001,05.11.2018.,05.11.2023.,pdf/396032/sazetak_karakteristika_lijeka.pdf,pdf/396032/upustvo_za_upotrebu.pdf,pdf/396032/tekst_za_spoljno_pakovanje.pdf,У припреми
396300,Aricept®,donepezil,"film tableta; 5mg; blister, 2x14kom",28 kom,film tableta,5mg,ОБНОВА,N06DA02,1079010,4.03454E+12,Хумани лекови,FAREVA AMBOISE,"Trešnjinog cveta 1/VI,  Beograd - Novi Beograd",Francuska,PFIZER SRB D.O.O.,Р - Лек се може издавати само уз лекарски рецепт,515-01-04196-17-001,03.10.2018.,03.10.2023.,pdf/396300/sazetak_karakteristika_lijeka.pdf,pdf/396300/upustvo_za_upotrebu.pdf,pdf/396300/tekst_za_spoljno_pakovanje.pdf,У припреми
396304,Aricept®,donepezil,"film tableta; 10mg; blister, 2x14kom",28 kom,film tableta,10mg,ОБНОВА,N06DA02,1079011,4.03454E+12,Хумани лекови,FAREVA AMBOISE,"Trešnjinog cveta 1/VI,  Beograd - Novi Beograd",Francuska,PFIZER SRB D.O.O.,Р - Лек се може издавати само уз лекарски рецепт,515-01-04197-17-001,03.10.2018.,03.10.2023.,pdf/396304/sazetak_karakteristika_lijeka.pdf,pdf/396304/upustvo_za_upotrebu.pdf,pdf/396304/tekst_za_spoljno_pakovanje.pdf,У припреми
396486,Caffebol® Moment,ibuprofen,"šumeća tableta; 200mg; kontejner za tablete, 2x10kom",20 kom,šumeća tableta,200mg,ОБНОВА,M01AE01,1162483,8.6001E+12,Хумани лекови,HEMOFARM AD VRŠAC,"Beogradski put bb,  Vršac",Republika Srbija,HEMOFARM AD VRŠAC,БР - Лек се може издавати и без рецепта,515-01-02977-17-001,08.10.2018.,08.10.2023.,pdf/396486/sazetak_karakteristika_lijeka.pdf,pdf/396486/upustvo_za_upotrebu.pdf,pdf/396486/tekst_za_spoljno_pakovanje.pdf,У припреми
396571,Doreta®,"tramadol, paracetamol","film tableta; 37.5mg+325mg; blister, 1x10kom",10 kom,film tableta,37.5mg+325mg,ОБНОВА,N02AJ13,1087907,3.83899E+12,Хумани лекови,"KRKA D.D., NOVO MESTO","Jurija Gagarina 26/V/II,  Beograd",Slovenija,KRKA-FARMA D.O.O. BEOGRAD,"NR - Лек се може издавати само на лекарски рецепт у два примерка, сходно прописима о лековима који садрже опојне дроге",515-01-04382-17-001,08.10.2018.,08.10.2023.,pdf/396571/sazetak_karakteristika_lijeka.pdf,pdf/396571/upustvo_za_upotrebu.pdf,pdf/396571/tekst_za_spoljno_pakovanje.pdf,У припреми
396572,Doreta®,"tramadol, paracetamol","film tableta; 37.5mg+325mg; blister, 2x10kom",20 kom,film tableta,37.5mg+325mg,ОБНОВА,N02AJ13,1087906,3.83899E+12,Хумани лекови,"KRKA D.D., NOVO MESTO","Jurija Gagarina 26/V/II,  Beograd",Slovenija,KRKA-FARMA D.O.O. BEOGRAD,"NR - Лек се може издавати само на лекарски рецепт у два примерка, сходно прописима о лековима који садрже опојне дроге",515-01-04383-17-001,08.10.2018.,08.10.2023.,pdf/396572/sazetak_karakteristika_lijeka.pdf,pdf/396572/upustvo_za_upotrebu.pdf,pdf/396572/tekst_za_spoljno_pakovanje.pdf,У припреми
396573,Doreta®,"tramadol, paracetamol","film tableta; 37.5mg+325mg; blister, 3x10kom",30 kom,film tableta,37.5mg+325mg,ОБНОВА,N02AJ13,1087908,3.83899E+12,Хумани лекови,"KRKA D.D., NOVO MESTO","Jurija Gagarina 26/V/II,  Beograd",Slovenija,KRKA-FARMA D.O.O. BEOGRAD,"NR - Лек се може издавати само на лекарски рецепт у два примерка, сходно прописима о лековима који садрже опојне дроге",515-01-04384-17-001,08.10.2018.,08.10.2023.,pdf/396573/sazetak_karakteristika_lijeka.pdf,pdf/396573/upustvo_za_upotrebu.pdf,pdf/396573/tekst_za_spoljno_pakovanje.pdf,У припреми
396779,Nitrolingual®,gliceriltrinitrat,"sublingvalni sprej, rastvor; 0.4mg/doza; bočica sa pumpom za doziranje, 1x14.4mL",14.400 mL,"sublingvalni sprej, rastvor",0.4mg/doza,ОБНОВА,C01DA02,7102621,3.83106E+12,Хумани лекови,G. POHL-BOSKAMP GMBH & CO. KG,"Milutina Milankovića 11b,  Beograd - Novi Beograd",Nemačka,MEDIS PHARMA D.O.O. BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-03997-17-001,06.12.2018.,06.12.2023.,pdf/396779/sazetak_karakteristika_lijeka.pdf,pdf/396779/upustvo_za_upotrebu.pdf,pdf/396779/tekst_za_spoljno_pakovanje.pdf,У припреми
396908,Amoksicilin HF,amoksicilin,"granule za oralnu suspenziju; 250mg/5mL; boca staklena, 1x100mL",100 mL,granule za oralnu suspenziju,250mg/5mL,ОБНОВА,J01CA04,3021969,8.6001E+12,Хумани лекови,HEMOFARM AD VRŠAC,"Beogradski put bb,  Vršac",Republika Srbija,HEMOFARM AD VRŠAC,Р - Лек се може издавати само уз лекарски рецепт,515-01-02797-17-001,17.10.2018.,17.10.2023.,pdf/396908/sazetak_karakteristika_lijeka.pdf,pdf/396908/upustvo_za_upotrebu.pdf,pdf/396908/tekst_za_spoljno_pakovanje.pdf,У припреми
396995,Ciprocinal®,ciprofloksacin,"film tableta; 500mg; blister, 2x5kom",10 kom,film tableta,500mg,ОБНОВА,J01MA02,1329192,8.60006E+12,Хумани лекови,ZDRAVLJE AD LESKOVAC,"Đorđa Stanojevića 12,  Beograd",Republika Srbija,ACTAVIS D.O.O. BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-04879-17-001,29.10.2018.,29.10.2023.,pdf/396995/sazetak_karakteristika_lijeka.pdf,pdf/396995/upustvo_za_upotrebu.pdf,pdf/396995/tekst_za_spoljno_pakovanje.pdf,У припреми
397184,Ibalgin® Baby,ibuprofen,"oralna suspenzija; 100mg/5mL; boca staklena, 1x100mL",100 mL,oralna suspenzija,100mg/5mL,ОБНОВА,M01AE01,3162325,8.6001E+12,Хумани лекови,ZENTIVA K.S.,"Beogradski put bb,  Vršac",Češka,HEMOFARM AD VRŠAC,Р - Лек се може издавати само уз лекарски рецепт,515-01-02688-17-001,27.11.2018.,27.11.2023.,pdf/397184/sazetak_karakteristika_lijeka.pdf,pdf/397184/upustvo_za_upotrebu.pdf,pdf/397184/tekst_za_spoljno_pakovanje.pdf,У припреми
397192,Ibalgin® Baby,ibuprofen,"oralna suspenzija; 100mg/5mL; boca staklena, 1x100mL",100 mL,oralna suspenzija,100mg/5mL,ОБНОВА,M01AE01,3162325,8.6001E+12,Хумани лекови,A. NATTERMANN & CIE.GMBH,"Beogradski put bb,  Vršac",Nemačka,HEMOFARM AD VRŠAC,Р - Лек се може издавати само уз лекарски рецепт,515-01-02688-17-001,27.11.2018.,27.11.2023.,pdf/397192/sazetak_karakteristika_lijeka.pdf,pdf/397192/upustvo_za_upotrebu.pdf,pdf/397192/tekst_za_spoljno_pakovanje.pdf,У припреми
397207,Tabex®,citizin,"film tableta; 1.5mg; blister, 5x20kom",100 kom,film tableta,1.5mg,ОБНОВА,N07BA04,1089130,8.6001E+12,Хумани лекови,SOPHARMA AD,"Beogradski put bb,  Vršac",Bugarska,HEMOFARM AD VRŠAC,БР - Лек се може издавати и без рецепта,515-01-02980-17-001,03.10.2018.,03.10.2023.,pdf/397207/sazetak_karakteristika_lijeka.pdf,pdf/397207/upustvo_za_upotrebu.pdf,pdf/397207/tekst_za_spoljno_pakovanje.pdf,У припреми
397211,Xalacom®,"timolol, latanoprost","kapi za oči, rastvor; 5mg/mL+50mcg/mL; bočica sa kapaljkom, 1x2.5mL",2.500 mL,"kapi za oči, rastvor",5mg/mL+50mcg/mL,ОБНОВА,S01ED51,7099170,1.21E+12,Хумани лекови,PFIZER MANUFACTURING BELGIUM NV,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Belgija,VIATRIS HEALTHCARE D.O.O.,Р - Лек се може издавати само уз лекарски рецепт,515-01-04846-17-001,24.10.2018.,24.10.2023.,pdf/397211/sazetak_karakteristika_lijeka.pdf,pdf/397211/upustvo_za_upotrebu.pdf,pdf/397211/tekst_za_spoljno_pakovanje.pdf,У припреми
397215,Topamax®,topiramat,"film tableta; 25mg; blister, 4x7kom",28 kom,film tableta,25mg,ОБНОВА,N03AX11,1084700,8.6061E+12,Хумани лекови,CILAG AG,"Omladinskih brigada 88B,  Beograd - Novi Beograd",Švajcarska,PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-04318-17-001,11.10.2018.,11.10.2023.,pdf/397215/sazetak_karakteristika_lijeka.pdf,pdf/397215/upustvo_za_upotrebu.pdf,pdf/397215/tekst_za_spoljno_pakovanje.pdf,У припреми
397217,Topamax®,topiramat,"film tableta; 50mg; blister, 4x7kom",28 kom,film tableta,50mg,ОБНОВА,N03AX11,1084701,8.6061E+12,Хумани лекови,CILAG AG,"Omladinskih brigada 88B,  Beograd - Novi Beograd",Švajcarska,PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-04320-17-001,11.10.2018.,11.10.2023.,pdf/397217/sazetak_karakteristika_lijeka.pdf,pdf/397217/upustvo_za_upotrebu.pdf,pdf/397217/tekst_za_spoljno_pakovanje.pdf,У припреми
397219,Topamax®,topiramat,"film tableta; 100mg; blister, 4x7kom",28 kom,film tableta,100mg,ОБНОВА,N03AX11,1084702,8.6061E+12,Хумани лекови,CILAG AG,"Omladinskih brigada 88B,  Beograd - Novi Beograd",Švajcarska,PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-04321-17-001,11.10.2018.,11.10.2023.,pdf/397219/sazetak_karakteristika_lijeka.pdf,pdf/397219/upustvo_za_upotrebu.pdf,pdf/397219/tekst_za_spoljno_pakovanje.pdf,У припреми
397244,Topamax®,topiramat,"film tableta; 25mg; blister, 4x7kom",28 kom,film tableta,25mg,ОБНОВА,N03AX11,1084700,8.6061E+12,Хумани лекови,JANSSEN CILAG S.P.A.,"Omladinskih brigada 88B,  Beograd - Novi Beograd",Italija,PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-04318-17-001,11.10.2018.,11.10.2023.,pdf/397244/sazetak_karakteristika_lijeka.pdf,pdf/397244/upustvo_za_upotrebu.pdf,pdf/397244/tekst_za_spoljno_pakovanje.pdf,У припреми
